user_id,user_index
479553526,478
479643383,479
479906315,480
479912549,481
480039451,482
480112030,483
480155596,484
480225528,485
480479391,486
480527377,487
480551471,488
480647282,489
480655869,490
480677693,491
480804710,492
481107533,493
481175001,494
481199938,495
481257025,496
481393623,497
481415031,498
481418031,499
481516221,500
481546979,501
481620088,502
481644560,503
481818817,504
481943718,505
481976269,506
481988232,507
482115265,508
482144018,509
482157038,510
482204269,511
482204922,512
482218783,513
482225278,514
482324015,515
482417444,516
482453326,517
482575290,518
482653740,519
482665560,520
482666190,521
482871310,522
482874526,523
482949063,524
482957271,525
483220588,526
483221184,527
483363963,528
483385884,529
483594738,530
483600040,531
483645548,532
483672251,533
483695601,534
483768782,535
483984415,536
484217233,537
484278544,538
484281841,539
484350394,540
484424588,541
484810745,542
484811271,543
484876403,544
485042717,545
485261338,546
485330307,547
485347702,548
485416543,549
485497622,550
485552029,551
485607632,552
485661232,553
485661816,554
485743558,555
485793853,556
485984917,557
486050876,558
486126757,559
486221437,560
486428745,561
486458633,562
486488085,563
486607600,564
486687015,565
486704405,566
486758009,567
486776352,568
486944816,569
487177549,570
487191665,571
487216105,572
487243784,573
487293959,574
487310952,575
487397399,576
487424777,577
487571843,578
487628337,579
487683064,580
487733146,581
487849471,582
487865330,583
487981694,584
488020231,585
488113708,586
488123390,587
488135302,588
488209629,589
488240123,590
488298978,591
488344605,592
488379220,593
488514363,594
488543539,595
488558151,596
488566186,597
488649492,598
488669510,599
488859003,600
488916113,601
488951505,602
489043416,603
489062934,604
489064381,605
489089277,606
489110084,607
489146120,608
489176612,609
489255143,610
489294047,611
489319730,612
489322380,613
489342287,614
489355459,615
489426218,616
489492174,617
489517737,618
489658211,619
489731475,620
489850714,621
489908877,622
489910769,623
489928643,624
489954439,625
490023650,626
490072204,627
490441780,628
490466141,629
490593524,630
490607253,631
490629112,632
490641664,633
490687028,634
490737984,635
490771357,636
490793394,637
490853565,638
490882691,639
490978080,640
491039222,641
491107667,642
491154321,643
491158436,644
491281749,645
491298840,646
491303749,647
491318169,648
491359503,649
491413887,650
491479328,651
491558849,652
491564115,653
491712611,654
491794858,655
491828405,656
491834898,657
491844619,658
491886142,659
491900429,660
492015188,661
492094016,662
492103460,663
492126417,664
492157666,665
492222249,666
492271266,667
492297148,668
492315798,669
492316174,670
492328785,671
492430659,672
492442977,673
492459646,674
492502130,675
492515363,676
492647821,677
492690336,678
492697964,679
492753325,680
492822989,681
492896590,682
492944021,683
493088953,684
493208439,685
493314650,686
493336016,687
493366281,688
493421670,689
493541075,690
493626025,691
493636474,692
493725106,693
493758704,694
493772708,695
493864407,696
493888920,697
493889482,698
493931535,699
493988908,700
493992514,701
494006734,702
494040112,703
494089594,704
494095167,705
494113535,706
494119856,707
494180593,708
494189726,709
494272566,710
494283458,711
494361379,712
494389801,713
494444925,714
494445837,715
494471365,716
494504861,717
494526569,718
494644588,719
494701541,720
494749911,721
494777331,722
494801857,723
494811183,724
494811732,725
494864771,726
495107650,727
495220531,728
495257536,729
495297538,730
495327601,731
495342814,732
495399109,733
495564108,734
495564678,735
495570706,736
495589687,737
495712201,738
495739987,739
495813928,740
495816528,741
495839516,742
495873599,743
496068421,744
496149847,745
496253221,746
496277011,747
496292083,748
496336159,749
496345201,750
496444104,751
496444159,752
496451725,753
496471868,754
496542338,755
496576984,756
496579817,757
496612777,758
496748740,759
496815777,760
496900731,761
496957381,762
497070817,763
497085899,764
497087183,765
497109234,766
497137145,767
497249899,768
497259509,769
497268703,770
497382873,771
497404018,772
497416786,773
497458398,774
497544872,775
497552274,776
497589852,777
497602975,778
497677582,779
497681201,780
497870994,781
497914321,782
497930130,783
497974299,784
498127361,785
498196104,786
498217817,787
498224023,788
498265086,789
498278957,790
498331876,791
498343172,792
498417595,793
498494128,794
498499363,795
498531941,796
498724013,797
498770119,798
498799309,799
498889824,800
498903960,801
499006850,802
499109393,803
499181277,804
499243481,805
499321767,806
499330710,807
499348081,808
499352299,809
499386220,810
499416335,811
499428295,812
499441861,813
499467575,814
499513348,815
499516351,816
499639808,817
499693360,818
499780697,819
499805272,820
499826904,821
499848213,822
499861532,823
499884046,824
499942185,825
500041901,826
500050667,827
500108200,828
500109513,829
500121038,830
500187164,831
500199650,832
500211957,833
500250163,834
500286620,835
500295160,836
500380129,837
500381763,838
500417217,839
500478985,840
500512398,841
500540882,842
500578996,843
500587078,844
500646296,845
500648200,846
500673129,847
500673771,848
500802554,849
500825112,850
500854355,851
500887516,852
500897998,853
500966672,854
500986864,855
500990813,856
500999971,857
501000290,858
501011160,859
501192468,860
501198085,861
501296849,862
501367490,863
501367947,864
501371391,865
501405562,866
501421513,867
501427953,868
501483109,869
501556054,870
501593307,871
501605192,872
501672336,873
501698030,874
501815900,875
501834927,876
501847678,877
501877474,878
501963406,879
501965576,880
501967414,881
501978490,882
502015366,883
502036422,884
502065357,885
502082596,886
502111781,887
502148336,888
502197022,889
502355291,890
502364367,891
502372361,892
502445630,893
502469352,894
502538575,895
502570034,896
502571534,897
502621256,898
502731204,899
502748380,900
502788866,901
502839414,902
502839617,903
502861083,904
502867989,905
502905350,906
502999467,907
502999612,908
503010523,909
503040067,910
503051219,911
503123433,912
503138366,913
503157724,914
503204664,915
503205339,916
503241210,917
503255307,918
503283510,919
503286678,920
503292276,921
503292438,922
503313197,923
503346579,924
503347063,925
503347177,926
503392617,927
503412423,928
503426675,929
503428020,930
503560503,931
503604370,932
503649587,933
503666509,934
503732306,935
503770094,936
503856300,937
503928357,938
503943304,939
503946138,940
503956081,941
503970073,942
504006854,943
504013801,944
504062662,945
504066002,946
504070719,947
504081336,948
504102764,949
504140336,950
504232204,951
504236373,952
504245352,953
504258246,954
504290430,955
504429960,956
504612768,957
504774252,958
504774386,959
504878699,960
504919099,961
504940277,962
504944278,963
504982586,964
505192664,965
505220134,966
505267389,967
505314674,968
505353642,969
505426075,970
505468743,971
505472675,972
505501987,973
505551709,974
505563362,975
505565680,976
505577120,977
505599473,978
505623353,979
505769144,980
505827983,981
505836409,982
505883479,983
505887188,984
505898838,985
505899545,986
505919012,987
505927507,988
505953177,989
506000960,990
506009066,991
506043361,992
506046957,993
506087054,994
506173821,995
506180674,996
506214023,997
506220622,998
506284335,999
506294822,1000
506309796,1001
506377456,1002
506441700,1003
506477057,1004
506623177,1005
506663142,1006
506678264,1007
506680555,1008
506712292,1009
506744267,1010
506817688,1011
506840202,1012
506840287,1013
506842840,1014
506893431,1015
506958400,1016
506974046,1017
506983530,1018
506988897,1019
507134502,1020
507200596,1021
507209070,1022
507234114,1023
507412213,1024
507426406,1025
507461943,1026
507548502,1027
507578333,1028
507581562,1029
507613636,1030
507618581,1031
507685895,1032
507740728,1033
507745581,1034
507827390,1035
507877931,1036
507914630,1037
507932061,1038
508038193,1039
508086934,1040
508128338,1041
508155953,1042
508247272,1043
508327980,1044
508469527,1045
508506708,1046
508515187,1047
508518860,1048
508539339,1049
508550320,1050
508624484,1051
508638407,1052
508707055,1053
508716595,1054
508817508,1055
509043818,1056
509111835,1057
509116020,1058
509137887,1059
509210352,1060
509274122,1061
509279453,1062
509369355,1063
509442216,1064
509478495,1065
509493138,1066
509504223,1067
509504796,1068
509552156,1069
509583615,1070
509711438,1071
509729136,1072
509738451,1073
509741466,1074
509759830,1075
509785762,1076
509822883,1077
510021749,1078
510025078,1079
510044167,1080
510110029,1081
510171732,1082
510304701,1083
510335574,1084
510342327,1085
510349635,1086
510374792,1087
510419613,1088
510447102,1089
510469456,1090
510513646,1091
510514633,1092
510525063,1093
510570700,1094
510703311,1095
510724631,1096
